sortpubdate,pubdate,first_author,title,pmid,pubmed_url
2026/02/01 00:00,2026 Feb,Brown A,Death and new disability following bleeding complications during venoarterial extracorporeal membrane oxygenation. A prospective cohort study from the EXCEL registry.,41101139,https://pubmed.ncbi.nlm.nih.gov/41101139/
2026/01/01 00:00,2026 Jan,Walker HGM,Factors associated with resource-intensive planned critical care admissions after elective surgery in patients with a planned admission to the intensive care unit.,41330799,https://pubmed.ncbi.nlm.nih.gov/41330799/
2026/01/01 00:00,2026 Jan 1,Brown A,Neurologic Complications During Venoarterial Extracorporeal Membrane Oxygenation and Their Implications for 6-Month Patient-Centered Outcomes.,41212045,https://pubmed.ncbi.nlm.nih.gov/41212045/
2025/12/07 00:00,2025,Vora A,"Acute Massive Hydroxychloroquine Overdose of 60 g in an Adult, Successfully Resuscitated: A Successful Salvage.",41367411,https://pubmed.ncbi.nlm.nih.gov/41367411/
2025/12/03 00:00,2025 Dec 3,Duke GJ,Promising solution for standardised length of hospital stay based on time-to-event models and contemporary Australian administrative data.,41338654,https://pubmed.ncbi.nlm.nih.gov/41338654/
2025/12/02 00:00,2025 Dec 2,Toolis M,A practice survey of airway management in Australian and New Zealand intensive care units: A 6-year follow-up study.,41332154,https://pubmed.ncbi.nlm.nih.gov/41332154/
2025/11/01 00:00,2025 Nov,Barlow CJD,Impact of the location of the initial admitting intensive care unit on the delivery of extracorporeal membrane oxygenation in Australia and New Zealand.,40945952,https://pubmed.ncbi.nlm.nih.gov/40945952/
2025/11/01 00:00,2025 Nov 1,Pilowsky JK,Mortality Trends Across Key Diagnostic Groups in Australian and New Zealand ICUs Over the Past 30 Years.,40810586,https://pubmed.ncbi.nlm.nih.gov/40810586/
2025/11/01 00:00,2025 Nov,Keeves J,The Australian Traumatic Brain Injury Initiative: Systematic Review of the Effect of Acute Interventions on Outcome for People With Moderate-Severe Traumatic Brain Injury.,38279797,https://pubmed.ncbi.nlm.nih.gov/38279797/
2025/11/01 00:00,2025 Nov,Walker HGM,"Timing and Mode of Death Following ECPR: A Single Centre, Retrospective Analysis.",40713203,https://pubmed.ncbi.nlm.nih.gov/40713203/
2025/10/16 00:00,2025 Dec,Duke GJ,"Critical care outcome prediction equation model, version 7.",41146741,https://pubmed.ncbi.nlm.nih.gov/41146741/
2025/09/29 00:00,2025 Sep 29,Duke GJ,"Maternal and Neonatal Outcomes: Right Data, Wrong Methodology, Misleading Answer?",41024410,https://pubmed.ncbi.nlm.nih.gov/41024410/
2025/09/27 00:00,2025 Oct,van Haren FMP,Efficacy of inhaled nebulised unfractionated heparin to prevent intubation or death in hospitalised patients with COVID-19: an investigator-initiated international meta-trial of randomised clinical studies.,41181828,https://pubmed.ncbi.nlm.nih.gov/41181828/
2025/09/01 00:00,2025 Sep,Duke GJ,Clinically meaningful categorisation of ICD-10-AM (Australian modification).,39563104,https://pubmed.ncbi.nlm.nih.gov/39563104/
2025/07/01 00:00,2025 Jul,Smith RJ,"A randomised, open-label trial of nebulised unfractionated heparin in patients mechanically ventilated for COVID-19.",40148075,https://pubmed.ncbi.nlm.nih.gov/40148075/
2025/05/01 00:00,2025 May,Brown A,Beta-blockade for the treatment of refractory hypoxaemia during venovenous extracorporeal membrane oxygenation: An in-silico study.,38881099,https://pubmed.ncbi.nlm.nih.gov/38881099/
2025/05/01 00:00,2025 May,Aubron C,The impact of red blood cells storage duration on the development of acute kidney injury: A secondary analysis of the TRANSFUSE multicenter randomized controlled trial.,40156299,https://pubmed.ncbi.nlm.nih.gov/40156299/
2025/04/22 00:00,2025 Apr 22,Walker HG,"Early fluid balance and mortality following extracorporeal cardiopulmonary resuscitation: a high volume, single center study.",40264208,https://pubmed.ncbi.nlm.nih.gov/40264208/
2025/04/01 00:00,2025 Apr,Maeda A,Furosemide with adjunctive acetazolamide vs furosemide only in critically ill patients: A pilot two-center randomized controlled trial.,39689380,https://pubmed.ncbi.nlm.nih.gov/39689380/
2025/04/01 00:00,2025 Apr,Then J,The Impact of Sedative Choice in the Management of Aneurysmal Subarachnoid Hemorrhage: A Scoping Review.,39266867,https://pubmed.ncbi.nlm.nih.gov/39266867/
2025/03/01 00:00,2025 Mar,Rollinson TC,"Complications associated with prone positioning in mechanically ventilated COVID-19 patients: A multicentre, retrospective observational study.",39406618,https://pubmed.ncbi.nlm.nih.gov/39406618/
2025/02/27 00:00,2025 Mar,Young PJ,Mean arterial pressure targets in intensive care unit patients receiving noradrenaline: An international survey.,40109286,https://pubmed.ncbi.nlm.nih.gov/40109286/
